연번,시,구,도로명 주소,세부 위치,설치 장소 유형,수거 쓰레기 종류,Latitude,Longitude
1,서울특별시,종로구,사직로 125,경복궁역 4번출구,지하철역 입구,일반쓰레기,37.576399,126.970126
2,서울특별시,종로구,사직로 125,경복궁역 4번출구,지하철역 입구,재활용쓰레기,37.576399,126.970126
3,서울특별시,종로구,자하문로 28 ,스타벅스 앞,도로변(횡단보도 포함),일반쓰레기,37.57856,126.969078
4,서울특별시,종로구,자하문로 28,스타벅스 앞,도로변(횡단보도 포함),재활용쓰레기,37.57856,126.969078
5,서울특별시,종로구,자하문로 44,라파리나 카페 앞,도로변(횡단보도 포함),일반쓰레기,37.579973,126.968663
6,서울특별시,종로구,자하문로 44,라파리나 카페 앞,도로변(횡단보도 포함),재활용쓰레기,37.579973,126.968663
7,서울특별시,종로구,자하문로 68 ,평화제과 앞,도로변(횡단보도 포함),일반쓰레기,37.580448,126.969107
8,서울특별시,종로구,자하문로 68 ,평화제과 앞,도로변(횡단보도 포함),재활용쓰레기,37.580448,126.969107
9,서울특별시,종로구,자하문로 13-2 ,경복궁역 2번출구방면 뉴욕버거 앞,도로변(횡단보도 포함),일반쓰레기,37.577375,126.969078
10,서울특별시,종로구,자하문로 13-2 ,경복궁역 3번출구방면 뉴욕버거 앞,도로변(횡단보도 포함),재활용쓰레기,37.577375,126.969078
11,서울특별시,종로구,효자로 13길 45,청와대 사랑채 분수대 앞,도로변(횡단보도 포함),일반쓰레기,37.579058,126.973838
12,서울특별시,종로구,효자로 13길 45,청와대 사랑채 분수대 앞,도로변(횡단보도 포함),재활용쓰레기,37.579058,126.973838
13,서울특별시,종로구,사직동 1-28,버스정류장(01-1113),"정류소(버스,택시 등)",일반쓰레기,37.57573,126.96892
14,서울특별시,종로구,사직동 1-28,버스정류장(01-1113),"정류소(버스,택시 등)",재활용쓰레기,37.57573,126.96892
15,서울특별시,종로구,자하문로1길 12,털보집 앞,상가지역,일반쓰레기,37.576578,126.968857
16,서울특별시,종로구,자하문로1길 50-1,더삼겹 185 앞,상가지역,일반쓰레기,37.57701,126.966779
17,서울특별시,종로구,자하문로1길 34,넘버원양꼬치 앞 ,상가지역,일반쓰레기,37.576614,126.967663
18,서울특별시,종로구,자하문로1길 49-4,해태상회 앞,상가지역,일반쓰레기,37.5768,126.96678
19,서울특별시,종로구,청운동 129,호호당 앞,상가지역,일반쓰레기,37.585033,126.97021
20,서울특별시,종로구,대학로 135,명륜포차 앞 대로변,상가지역,일반쓰레기,37.583235,126.998554
21,서울특별시,종로구,대학로 122 ,탑텐 대학로점 앞 대로변,상가지역,일반쓰레기,37.582183,127.002246
22,서울특별시,종로구,대학로 116,스타벅스 앞,상가지역,일반쓰레기,37.581519,127.002283
23,서울특별시,종로구,이화장 1길 20,종로노인종합복지관 뒷편,상가지역,일반쓰레기,37.58075,126.97949
24,서울특별시,종로구,자하문로1길 3-1,세종마을 음식문화거리 부근,상가지역,일반쓰레기,37.576452,126.969395
25,서울특별시,종로구,자하문로1길 5,세종마을 음식문화거리 부근,상가지역,일반쓰레기,37.57662,126.969337
26,서울특별시,종로구,자하문로1길 3,세종마을 음식문화거리 부근,상가지역,일반쓰레기,37.576452,126.969395
27,서울특별시,종로구,자하문로 39,형제마켓 앞,상가지역,일반쓰레기,37.5777,126.966777
28,서울특별시,종로구,자하문로 1길 32,서촌 친구네 앞,상가지역,일반쓰레기,37.577754,126.96941
29,서울특별시,종로구,자하문로1길 32,서촌 친구네 앞,상가지역,재활용쓰레기,37.576558,126.967745
30,서울특별시,종로구,필운대로 9-2,도로변,도로변(횡단보도 포함),일반쓰레기,37.577166,126.966229
31,서울특별시,종로구,통일로16길 3,상가대로변,상가지역,일반쓰레기,37.5756159,126.9570898
32,서울특별시,종로구,사직로8길 4,버스정류장(01-1128),"정류소(버스,택시 등)",일반쓰레기,37.5744169,126.9688811
33,서울특별시,종로구,사직로8길 4,버스정류장(01-1129),"정류소(버스,택시 등)",재활용쓰레기,37.5744169,126.9688811
34,서울특별시,종로구,새문안로 82 ,에스타워 앞 ,도로변(횡단보도 포함),일반쓰레기,37.5697299,126.9739214
35,서울특별시,종로구,새문안로 82,에스타워 앞 ,도로변(횡단보도 포함),재활용쓰레기,37.5697299,126.9739214
36,서울특별시,종로구,신문로1가 141,광화문 버스정류장 앞 (01-009),"정류소(버스,택시 등)",일반쓰레기,37.5701578,126.975797
37,서울특별시,종로구,신문로1가 141,광화문 버스정류장 앞 (01-009),"정류소(버스,택시 등)",일반쓰레기,37.5701578,126.975797
38,서울특별시,종로구,청계천로 1,채널A 본사 앞 ,도로변(횡단보도 포함),일반쓰레기,37.5695378,126.9780701
39,서울특별시,종로구,청게천로 1,채널A 본사 앞 ,도로변(횡단보도 포함),재활용쓰레기,37.5695378,126.9780701
40,서울특별시,종로구,종로 14 ,한국무역공사 빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.5697852,126.9788611
41,서울특별시,종로구,종로 30-1,종로분식 앞,도로변(횡단보도 포함),일반쓰레기,37.5699684,126.9807392
42,서울특별시,종로구,종로 30-1 ,종로분식 앞,도로변(횡단보도 포함),재활용쓰레기,37.5699684,126.9807392
43,서울특별시,종로구,종로1가 54,종로1가 버스정류장(01-012),"정류소(버스,택시 등)",일반쓰레기,37.5702322,126.9814161
44,서울특별시,종로구,종로1가 54,종로1가 버스정류장(01-012),"정류소(버스,택시 등)",일반쓰레기,37.5702322,126.9814161
45,서울특별시,종로구,종로1가 82-2,종로1가 버스정류장(01-011),"정류소(버스,택시 등)",일반쓰레기,37.570212,126.9797574
46,서울특별시,종로구,종로1가 82-2,종로1가 버스정류장(01-011),"정류소(버스,택시 등)",재활용쓰레기,37.570212,126.9797574
47,서울특별시,종로구,종로1길 50,더 케이트윈타워 대로��앞,도로변(횡단보도 포함),일반쓰레기,37.5747575,126.9792977
48,서울특별시,종로구,종로1길 50,더 케이트윈타워 대로변앞,도로변(횡단보도 포함),재활용쓰레기,37.5747575,126.9792977
49,서울특별시,종로구,종로 5길 103,세븐일레븐 앞,도로변(횡단보도 포함),일반쓰레기,37.5742351,126.9787718
50,서울특별시,종로구,종로 103,세븐일레븐 앞,도로변(횡단보도 포함),재활용쓰레기,37.5703147,126.9886465
51,서울특별시,종로구,종로 44길 80,수족관거리 시스페이스 앞,도로변(횡단보도 포함),일반쓰레기,37.5706501,127.0146706
52,서울특별시,종로구,종로 44길 81,수족관거리 시스페이스 앞,도로변(횡단보도 포함),재활용쓰레기,37.5708338,127.0147649
53,서울특별시,종로구,종로2가 15-1,종로2가 버스정류장(01-014),"정류소(버스,택시 등)",일반쓰레기,37.5703582,126.9863939
54,서울특별시,종로구,종로2가 15-2,종로2가 버스정류장(01-014),"정류소(버스,택시 등)",일반쓰레기,37.5704209,126.9864037
55,서울특별시,종로구,종로 104,YBM 종로3가 앞,도로변(횡단보도 포함),일반쓰레기,37.5699371,126.9887823
56,서울특별시,종로구,종로 104,YBM 종로4가 앞,도로변(횡단보도 포함),일반쓰레기,37.5699371,126.9887823
57,서울특별시,종로구,종로 51 ,종각교차로 앞 ,도로변(횡단보도 포함),재활용쓰레기,37.5704497,126.9838628
58,서울특별시,종로구,종로2가 15-1,종로2가 버스정류장(01-015),"정류소(버스,택시 등)",일반쓰레기,37.5703582,126.9863939
59,서울특별시,종로구,종로2가 15-1,종로2가 버스정류장(01-015),"정류소(버스,택시 등)",일반쓰레기,37.5703582,126.9863939
60,서울특별시,종로구,종로 73,CU 종각쇼핑센터 앞,도로변(횡단보도 포함),일반쓰레기,37.5704285,126.9857346
61,���울특별시,종로구,종로 74,영안빌딩 앞,도로변(횡단보도 포함),재활용쓰레기,37.5699448,126.9856159
62,서울특별시,종로구,종로 83,귀금속 도매상가 앞,도로변(횡단보도 포함),일반쓰레기,37.5704222,126.9867005
63,서울특별시,종로구,종로 83,귀금속 도매상가 앞,도로변(횡단보도 포함),재활용쓰레기,37.5704222,126.9867005
64,서울특별시,종로구,인사동길 1,남인사마당,도로변(횡단보도 포함),일반쓰레기,37.5732841,126.9856063
65,서울특별시,종로구,인사동길 1 ,남인사마당,도로변(횡단보도 포함),재활용쓰레기,37.5732841,126.9856063
66,서울특별시,종로구,율곡로 46 ,종로경찰서 앞,도로변(횡단보도 포함),일반쓰레기,37.5760033,126.9847107
67,서울특별시,종로구,율곡로 46,종로경찰서 앞,도로변(횡단보도 포함),재활용쓰레기,37.5760033,126.9847107
68,서울특별시,종로구,삼일대로 467,서울노인복지센터 앞,도로변(횡단보도 포함),일반쓰레기,37.5759852,126.9858221
69,서울특별시,종로구,삼일대로 467,서울노인복지센터 앞,도로변(횡단보도 포함),재활용쓰레기,37.5759852,126.9858221
70,서울특별시,종로구,종로1가 1-3,광화문 버스정류소(01-010),"정류소(버스,택시 등)",일반쓰레기,37.5703019,126.9780405
71,서울특별시,종로구,종로1가 1-3,광화문 버스정류소(01-010),"정류소(버스,택시 등)",재활용쓰레기,37.5703019,126.9780405
